EMPLOYEEID,NAME_FIRST,NAME_MIDDLE,NAME_LAST,NAME_INITIALS,SEX,LANGUAGE,PHONENUMBER,EMAILADDRESS,LOGINNAME,ADDRESSID,VALIDITY_STARTDATE,VALIDITY_ENDDATE,,,,,,
0000000001,Derrick,L,Magill,,M,E,630-374-0306,derrick.magill@itelo.info,derrickm,1000000001,20000101,99991231,,,,,,
0000000002,Philipp,T,Egger,,M,E,09603 61 24 64,philipp.egger@itelo.info,philippm,1000000002,20000101,99991231,,,,,,
0000000003,"Ellis",K,Robertson,,M,E,070 8691 2288,ellis.robertson@itelo.info,ellism,1000000003,20000101,99991231,,,,,,
0000000004,William,M,Mussen,,M,E,026734 4556,william.mussen@itelo.info,williamm,1000000004,20000101,99991231,,,,,,
0000000005,Javas,,Hegde,,M,E,02224135120,javas.hegde@itelo.info,javasm,1000000005,20000101,99991231,,,,,,
0000000006,Haseena al,,Yousuf,,F,E,2288340,alhaseena.yousuf@itelo.info,haseena alf,1000000006,20000101,99991231,,,,,,
0000000007,"Roberta",M,Holloway,,F,E,306-598-7404,roberta.holloway@itelo.info,robertaf,1000000007,20000101,99991231,,,,,,
0000000008,Pénélope,G,Duperré,,F,E,03.23.46.10404,penelope.duperre@itelo.info,penelopef,1000000008,20000101,99991231,,,,,,
0000000009,"Kirk",J,Lee,,M,E,805-756-6064,kirk.lee@itelo.info,kirkm,1000000009,20000101,99991231,,,,,,
0000000010,Janet,R,Gray,,F,E,201-849-2465,janet.gray@itelo.info,janetf,1000000010,20000101,99991231,,,,,,
0000000011,Nelson,J,Wilkens,,M,E,916-223-7055,nelson.wilkens@itelo.info,nelsonm,1000000011,20000101,99991231,,,,,,
0000000012,Willard,R,Chatman,,M,E,416-794-6633,willard.chatman@itelo.info,willardm,1000000012,20000101,99991231,,,,,,
0000000013,Carroll,S,Pewitt,,M,E,780-682-9921,carroll.pewitt@itelo.info,carrollm,1000000013,20000101,99991231,,,,,,
0000000014,Kenneth,H,Weise,,M,E,416-609-5608,kenneth.weise@itelo.info,kennethm,1000000014,20000101,99991231,,,,,,
